"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"15","RT @res_pet: Lots of exciting developments in the works for $LRSV ! #pet #dogs #cats #CBD #Hemp. We look forward to updating shareholders v…",FALSE,0,NA,2019-02-25 18:50:09,FALSE,NA,"1100105687479263233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Grincent1",56,TRUE,FALSE,NA,NA
"16","If the well being of #Animals is a top priority  of @MayorJValdivia, why is he using a #FrankMacomber - a Police Of… https://t.co/hdndrjZqdi",FALSE,0,NA,2019-02-25 18:49:56,TRUE,NA,"1100105634043781120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GiveLuckyBack",0,FALSE,FALSE,NA,NA
"17","RT @Eljackson25: Purple and White Small Dog Crochet Sweater https://t.co/kr6I3F410y via @Etsy #etsy #handmade #crochet #dogs #smalldogs #do…",FALSE,0,NA,2019-02-25 18:49:55,FALSE,NA,"1100105629069438980",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mlnostalgia",6,TRUE,FALSE,NA,NA
"18","Foster human got bit by the #spring cleaning bug that flew in the open windows today, We are helping😴💤 #lazydogs… https://t.co/TnypuSaFF9",FALSE,3,NA,2019-02-25 18:49:53,TRUE,NA,"1100105621037305856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AMuttleyCrew",0,FALSE,FALSE,NA,NA
"19","@Marylaw55555 If the well being of #Animals is a top priority  of @MayorJValdivia, why is he using a #FrankMacomber… https://t.co/sPj3ZFyIyD",FALSE,0,"Marylaw55555",2019-02-25 18:49:46,TRUE,"1100096937083260928","1100105592494993408","950498201018118144","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GiveLuckyBack",0,FALSE,FALSE,NA,NA
"20","RT @MADRADogRescue: Spike and Rocky were surrendered together so we would love to keep them together.
Spike can be little anxious but Rocky…",FALSE,0,NA,2019-02-25 18:49:04,FALSE,NA,"1100105416669831173",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","donken37",12,TRUE,FALSE,NA,NA
"21","RT @HelpingLostPets: #dogs LOST #Houston TX,USA, Great Dane, Nov.30/18, https://t.co/ZFgKsXsmGB @LostDogTX",FALSE,0,NA,2019-02-25 18:49:01,FALSE,NA,"1100105401482108934",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GnomeGnuts",1,TRUE,FALSE,NA,NA
"22","Gotta love some static electricity!

https://t.co/COwh6lIBC4

https://t.co/m3vsj6Jbsg

#dog #dogs #dogpacks… https://t.co/fh43DtElpO",FALSE,0,NA,2019-02-25 18:48:51,TRUE,NA,"1100105358146560004",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","soulmuttsTO",0,FALSE,FALSE,NA,NA
"23","RT @BellaInxs2: This is the Mom instinct !!!       #PuppyPower #puppies #love #dogs #animals ♥️🐶.    https://t.co/Bfj4TEZmLB",FALSE,0,NA,2019-02-25 18:48:50,FALSE,NA,"1100105355726647297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FedUpwDemsLIES",1477,TRUE,FALSE,NA,NA
"24","RT @fire_spell: Some witches have cats...I have this guy. I've been sick and he's just with me, keeping me warm.  Tiberius rocks!   #dogsof…",FALSE,0,NA,2019-02-25 18:48:31,FALSE,NA,"1100105277716742146",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BitchyWitch9",2,TRUE,FALSE,NA,NA
"25","RT @res_pet: Lots of exciting developments in the works for $LRSV ! #pet #dogs #cats #CBD #Hemp. We look forward to updating shareholders v…",FALSE,0,NA,2019-02-25 18:48:31,FALSE,NA,"1100105276512968704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jahongi30961248",56,TRUE,FALSE,NA,NA
"26","RT @scamperspets: Today for “Rooster” was a great day for rolling around in the grass....😄😄🐾🐾❤️ #littledownham #ely #dogs #Frenchies https:…",FALSE,0,NA,2019-02-25 18:48:23,FALSE,NA,"1100105243784822784",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","scamperspets",1,TRUE,FALSE,NA,NA
